FIPS,Primary County Coordinates,County,City,Year,Estimate
1900370,"(41.3307464, -94.4709413)",Adair ,Adair (pt.),April 01 2010,762
1908425,"(41.3307464, -94.4709413)",Adair ,Bridgewater,April 01 2010,182
1911395,"(41.3307464, -94.4709413)",Adair ,Casey (pt.),April 01 2010,10
1928290,"(41.3307464, -94.4709413)",Adair ,Fontanelle,April 01 2010,672
1932790,"(41.3307464, -94.4709413)",Adair ,Greenfield,April 01 2010,1982
1959565,"(41.3307464, -94.4709413)",Adair ,Orient,April 01 2010,408
1975990,"(41.3307464, -94.4709413)",Adair ,Stuart (pt.),April 01 2010,699
1999990,"(41.3307464, -94.4709413)",Adair ,Balance of Adair County,April 01 2010,2967
1910585,"(41.0289839, -94.6991849)",Adams ,Carbon,April 01 2010,34
1916500,"(41.0289839, -94.6991849)",Adams ,Corning,April 01 2010,1635
1944490,"(41.0289839, -94.6991849)",Adams ,Lenox (pt.),April 01 2010,0
1956865,"(41.0289839, -94.6991849)",Adams ,Nodaway,April 01 2010,114
1964560,"(41.0289839, -94.6991849)",Adams ,Prescott,April 01 2010,257
1999990,"(41.0289839, -94.6991849)",Adams ,Balance of Adams County,April 01 2010,1989
1934590,"(43.2842838, -91.3780923)",Allamakee ,Harpers Ferry,April 01 2010,328
1943275,"(43.2842838, -91.3780923)",Allamakee ,Lansing,April 01 2010,999
1955785,"(43.2842838, -91.3780923)",Allamakee ,New Albin,April 01 2010,522
1964290,"(43.2842838, -91.3780923)",Allamakee ,Postville (pt.),April 01 2010,1947
1982470,"(43.2842838, -91.3780923)",Allamakee ,Waterville,April 01 2010,144
1982740,"(43.2842838, -91.3780923)",Allamakee ,Waukon,April 01 2010,3897
1999990,"(43.2842838, -91.3780923)",Allamakee ,Balance of Allamakee County,April 01 2010,6493
1912315,"(40.7431635, -92.8686104)",Appanoose ,Centerville,April 01 2010,5528
1913395,"(40.7431635, -92.8686104)",Appanoose ,Cincinnati,April 01 2010,357
1926310,"(40.7431635, -92.8686104)",Appanoose ,Exline,April 01 2010,160
1953985,"(40.7431635, -92.8686104)",Appanoose ,Moravia (pt.),April 01 2010,663
1954390,"(40.7431635, -92.8686104)",Appanoose ,Moulton,April 01 2010,605
1955200,"(40.7431635, -92.8686104)",Appanoose ,Mystic,April 01 2010,425
1957945,"(40.7431635, -92.8686104)",Appanoose ,Numa,April 01 2010,92
1963345,"(40.7431635, -92.8686104)",Appanoose ,Plano,April 01 2010,70
1965730,"(40.7431635, -92.8686104)",Appanoose ,Rathbun,April 01 2010,89
1979410,"(40.7431635, -92.8686104)",Appanoose ,Udell,April 01 2010,47
1979680,"(40.7431635, -92.8686104)",Appanoose ,Unionville,April 01 2010,102
1999990,"(40.7431635, -92.8686104)",Appanoose ,Balance of Appanoose County,April 01 2010,4749
1903655,"(41.6845893, -94.9058222)",Audubon ,Audubon,April 01 2010,2176
1908200,"(41.6845893, -94.9058222)",Audubon ,Brayton,April 01 2010,128
1926265,"(41.6845893, -94.9058222)",Audubon ,Exira,April 01 2010,840
1932565,"(41.6845893, -94.9058222)",Audubon ,Gray,April 01 2010,63
1941295,"(41.6845893, -94.9058222)",Audubon ,Kimballton,April 01 2010,322
1999990,"(41.6845893, -94.9058222)",Audubon ,Balance of Audubon County,April 01 2010,2590
1903475,"(42.0801864, -92.0656912)",Benton ,Atkins,April 01 2010,1670
1905590,"(42.0801864, -92.0656912)",Benton ,Belle Plaine,April 01 2010,2534
1906805,"(42.0801864, -92.0656912)",Benton ,Blairstown,April 01 2010,692
1930000,"(42.0801864, -92.0656912)",Benton ,Garrison,April 01 2010,371
1941115,"(42.0801864, -92.0656912)",Benton ,Keystone,April 01 2010,622
1947505,"(42.0801864, -92.0656912)",Benton ,Luzerne,April 01 2010,96
1954435,"(42.0801864, -92.0656912)",Benton ,Mount Auburn,April 01 2010,150
1956055,"(42.0801864, -92.0656912)",Benton ,Newhall,April 01 2010,875
1957720,"(42.0801864, -92.0656912)",Benton ,Norway,April 01 2010,545
1972480,"(42.0801864, -92.0656912)",Benton ,Shellsburg,April 01 2010,983
1979905,"(42.0801864, -92.0656912)",Benton ,Urbana,April 01 2010,1458
1980400,"(42.0801864, -92.0656912)",Benton ,Van Horne,April 01 2010,682
1981210,"(42.0801864, -92.0656912)",Benton ,Vinton,April 01 2010,5257
1981840,"(42.0801864, -92.0656912)",Benton ,Walford (pt.),April 01 2010,1081
1999990,"(42.0801864, -92.0656912)",Benton ,Balance of Benton County,April 01 2010,9060
1911755,"(42.4700957, -92.3088197)",Black Hawk ,Cedar Falls,April 01 2010,39260
1922845,"(42.4700957, -92.3088197)",Black Hawk ,Dunkerton,April 01 2010,852
1924870,"(42.4700957, -92.3088197)",Black Hawk ,Elk Run Heights,April 01 2010,1117
1925995,"(42.4700957, -92.3088197)",Black Hawk ,Evansdale,April 01 2010,4751
1930675,"(42.4700957, -92.3088197)",Black Hawk ,Gilbertville,April 01 2010,712
1937470,"(42.4700957, -92.3088197)",Black Hawk ,Hudson,April 01 2010,2282
1939405,"(42.4700957, -92.3088197)",Black Hawk ,Janesville (pt.),April 01 2010,127
1939585,"(42.4700957, -92.3088197)",Black Hawk ,Jesup (pt.),April 01 2010,117
1943365,"(42.4700957, -92.3088197)",Black Hawk ,La Porte City,April 01 2010,2285
1965820,"(42.4700957, -92.3088197)",Black Hawk ,Raymond,April 01 2010,788
1982425,"(42.4700957, -92.3088197)",Black Hawk ,Waterloo,April 01 2010,68406
1999990,"(42.4700957, -92.3088197)",Black Hawk ,Balance of Black Hawk County,April 01 2010,10393
1905185,"(42.0365493, -93.931671)",Boone ,Beaver,April 01 2010,48
1906040,"(42.0365493, -93.931671)",Boone ,Berkley,April 01 2010,32
1907480,"(42.0365493, -93.931671)",Boone ,Boone,April 01 2010,12661
1907750,"(42.0365493, -93.931671)",Boone ,Boxholm,April 01 2010,195
1928920,"(42.0365493, -93.931671)",Boone ,Fraser,April 01 2010,102
1947280,"(42.0365493, -93.931671)",Boone ,Luther,April 01 2010,122
1948450,"(42.0365493, -93.931671)",Boone ,Madrid,April 01 2010,2543
1958665,"(42.0365493, -93.931671)",Boone ,Ogden,April 01 2010,2044
1962850,"(42.0365493, -93.931671)",Boone ,Pilot Mound,April 01 2010,173
1972345,"(42.0365493, -93.931671)",Boone ,Sheldahl (pt.),April 01 2010,29
1986970,"(42.0365493, -93.931671)",Boone ,Woodward (pt.),April 01 2010,
1999990,"(42.0365493, -93.931671)",Boone ,Balance of Boone County,April 01 2010,8357
1920035,"(42.7745873, -92.3180548)",Bremer ,Denver,April 01 2010,1780
1929010,"(42.7745873, -92.3180548)",Bremer ,Frederika,April 01 2010,183
1939405,"(42.7745873, -92.3180548)",Bremer ,Janesville (pt.),April 01 2010,803
1963210,"(42.7745873, -92.3180548)",Bremer ,Plainfield,April 01 2010,436
1965910,"(42.7745873, -92.3180548)",Bremer ,Readlyn,April 01 2010,808
1976260,"(42.7745873, -92.3180548)",Bremer ,Sumner (pt.),April 01 2010,2006
1978915,"(42.7745873, -92.3180548)",Bremer ,Tripoli,April 01 2010,1313
1982875,"(42.7745873, -92.3180548)",Bremer ,Waverly,April 01 2010,9874
1999990,"(42.7745873, -92.3180548)",Bremer ,Balance of Bremer County,April 01 2010,7073
1903835,"(42.4707777, -91.8378392)",Buchanan ,Aurora,April 01 2010,185
1908155,"(42.4707777, -91.8378392)",Buchanan ,Brandon,April 01 2010,309
1926355,"(42.4707777, -91.8378392)",Buchanan ,Fairbank (pt.),April 01 2010,817
1935580,"(42.4707777, -91.8378392)",Buchanan ,Hazleton,April 01 2010,823
1938100,"(42.4707777, -91.8378392)",Buchanan ,Independence,April 01 2010,5966
1939585,"(42.4707777, -91.8378392)",Buchanan ,Jesup (pt.),April 01 2010,2403
1943005,"(42.4707777, -91.8378392)",Buchanan ,Lamont,April 01 2010,461
1965235,"(42.4707777, -91.8378392)",Buchanan ,Quasqueton,April 01 2010,554
1969060,"(42.4707777, -91.8378392)",Buchanan ,Rowley,April 01 2010,264
1974955,"(42.4707777, -91.8378392)",Buchanan ,Stanley (pt.),April 01 2010,119
1986565,"(42.4707777, -91.8378392)",Buchanan ,Winthrop,April 01 2010,850
1999990,"(42.4707777, -91.8378392)",Buchanan ,Balance of Buchanan County,April 01 2010,8207
1900865,"(42.7354936, -95.151149)",Buena Vista ,Albert City,April 01 2010,699
1901495,"(42.7354936, -95.151149)",Buena Vista ,Alta,April 01 2010,1883
1942645,"(42.7354936, -95.151149)",Buena Vista ,Lakeside,April 01 2010,596
1945480,"(42.7354936, -95.151149)",Buena Vista ,Linn Grove,April 01 2010,154
1949260,"(42.7354936, -95.151149)",Buena Vista ,Marathon,April 01 2010,237
1955965,"(42.7354936, -95.151149)",Buena Vista ,Newell,April 01 2010,876
1966360,"(42.7354936, -95.151149)",Buena Vista ,Rembrandt,April 01 2010,203
1973425,"(42.7354936, -95.151149)",Buena Vista ,Sioux Rapids,April 01 2010,775
1975630,"(42.7354936, -95.151149)",Buena Vista ,Storm Lake,April 01 2010,10600
1979095,"(42.7354936, -95.151149)",Buena Vista ,Truesdale,April 01 2010,81
1999990,"(42.7354936, -95.151149)",Buena Vista ,Balance of Buena Vista County,April 01 2010,4156
1901315,"(42.7315661, -92.7901934)",Butler ,Allison,April 01 2010,1029
1902395,"(42.7315661, -92.7901934)",Butler ,Aplington,April 01 2010,1128
1902620,"(42.7315661, -92.7901934)",Butler ,Aredale,April 01 2010,74
1908560,"(42.7315661, -92.7901934)",Butler ,Bristow,April 01 2010,160
1913755,"(42.7315661, -92.7901934)",Butler ,Clarksville,April 01 2010,1439
1922620,"(42.7315661, -92.7901934)",Butler ,Dumont,April 01 2010,637
1932745,"(42.7315661, -92.7901934)",Butler ,Greene (pt.),April 01 2010,1130
1956145,"(42.7315661, -92.7901934)",Butler ,New Hartford,April 01 2010,516
1961590,"(42.7315661, -92.7901934)",Butler ,Parkersburg,April 01 2010,1870
1972435,"(42.7315661, -92.7901934)",Butler ,Shell Rock,April 01 2010,1296
1999990,"(42.7315661, -92.7901934)",Butler ,Balance of Butler County,April 01 2010,5588
1926940,"(42.3851848, -94.6404136)",Calhoun ,Farnhamville (pt.),April 01 2010,371
1939900,"(42.3851848, -94.6404136)",Calhoun ,Jolley,April 01 2010,41
1941790,"(42.3851848, -94.6404136)",Calhoun ,Knierim,April 01 2010,60
1942465,"(42.3851848, -94.6404136)",Calhoun ,Lake City,April 01 2010,1727
1946245,"(42.3851848, -94.6404136)",Calhoun ,Lohrville,April 01 2010,368
1947730,"(42.3851848, -94.6404136)",Calhoun ,Lytton (pt.),April 01 2010,43
1948990,"(42.3851848, -94.6404136)",Calhoun ,Manson,April 01 2010,1690
1964065,"(42.3851848, -94.6404136)",Calhoun ,Pomeroy,April 01 2010,662
1967125,"(42.3851848, -94.6404136)",Calhoun ,Rinard,April 01 2010,52
1968295,"(42.3851848, -94.6404136)",Calhoun ,Rockwell City,April 01 2010,1709
1973920,"(42.3851848, -94.6404136)",Calhoun ,Somers,April 01 2010,113
1987375,"(42.3851848, -94.6404136)",Calhoun ,Yetter,April 01 2010,34
1999990,"(42.3851848, -94.6404136)",Calhoun ,Balance of Calhoun County,April 01 2010,2800
1902485,"(42.0362382, -94.8605593)",Carroll ,Arcadia,April 01 2010,484
1908290,"(42.0362382, -94.8605593)",Carroll ,Breda,April 01 2010,483
1911080,"(42.0362382, -94.8605593)",Carroll ,Carroll,April 01 2010,10103
1916050,"(42.0362382, -94.8605593)",Carroll ,Coon Rapids (pt.),April 01 2010,1305
1919450,"(42.0362382, -94.8605593)",Carroll ,Dedham,April 01 2010,266
1931395,"(42.0362382, -94.8605593)",Carroll ,Glidden,April 01 2010,1146
1933645,"(42.0362382, -94.8605593)",Carroll ,Halbur,April 01 2010,246
1943140,"(42.0362382, -94.8605593)",Carroll ,Lanesboro,April 01 2010,121
1945030,"(42.0362382, -94.8605593)",Carroll ,Lidderdale,April 01 2010,180
1948945,"(42.0362382, -94.8605593)",Carroll ,Manning,April 01 2010,1500
1965505,"(42.0362382, -94.8605593)",Carroll ,Ralston (pt.),April 01 2010,77
1977340,"(42.0362382, -94.8605593)",Carroll ,Templeton,April 01 2010,362
1985710,"(42.0362382, -94.8605593)",Carroll ,Willey,April 01 2010,88
1999990,"(42.0362382, -94.8605593)",Carroll ,Balance of Carroll County,April 01 2010,4455
1902260,"(41.3314876, -94.9278266)",Cass ,Anita,April 01 2010,972
1903520,"(41.3314876, -94.9278266)",Cass ,Atlantic,April 01 2010,7112
1917760,"(41.3314876, -94.9278266)",Cass ,Cumberland,April 01 2010,262
1933150,"(41.3314876, -94.9278266)",Cass ,Griswold,April 01 2010,1036
1944805,"(41.3314876, -94.9278266)",Cass ,Lewis,April 01 2010,433
1949575,"(41.3314876, -94.9278266)",Cass ,Marne,April 01 2010,120
1950250,"(41.3314876, -94.9278266)",Cass ,Massena,April 01 2010,355
1986610,"(41.3314876, -94.9278266)",Cass ,Wiota,April 01 2010,116
1999990,"(41.3314876, -94.9278266)",Cass ,Balance of Cass County,April 01 2010,3550
1905770,"(41.7723207, -91.1324125)",Cedar ,Bennett,April 01 2010,405
1913530,"(41.7723207, -91.1324125)",Cedar ,Clarence,April 01 2010,974
1922980,"(41.7723207, -91.1324125)",Cedar ,Durant (pt.),April 01 2010,1737
1946920,"(41.7723207, -91.1324125)",Cedar ,Lowden,April 01 2010,789
1950700,"(41.7723207, -91.1324125)",Cedar ,Mechanicsville,April 01 2010,1146
1975045,"(41.7723207, -91.1324125)",Cedar ,Stanwood,April 01 2010,684
1978285,"(41.7723207, -91.1324125)",Cedar ,Tipton,April 01 2010,3221
1983595,"(41.7723207, -91.1324125)",Cedar ,West Branch (pt.),April 01 2010,2227
1986070,"(41.7723207, -91.1324125)",Cedar ,Wilton (pt.),April 01 2010,5
1999990,"(41.7723207, -91.1324125)",Cedar ,Balance of Cedar County,April 01 2010,7311
1914025,"(43.0815577, -93.2608184)",Cerro Gordo ,Clear Lake,April 01 2010,7777
1922080,"(43.0815577, -93.2608184)",Cerro Gordo ,Dougherty,April 01 2010,58
1950160,"(43.0815577, -93.2608184)",Cerro Gordo ,Mason City,April 01 2010,28079
1951420,"(43.0815577, -93.2608184)",Cerro Gordo ,Meservey,April 01 2010,256
1956910,"(43.0815577, -93.2608184)",Cerro Gordo ,Nora Springs (pt.),April 01 2010,0
1963885,"(43.0815577, -93.2608184)",Cerro Gordo ,Plymouth,April 01 2010,382
1968025,"(43.0815577, -93.2608184)",Cerro Gordo ,Rock Falls,April 01 2010,155
1968250,"(43.0815577, -93.2608184)",Cerro Gordo ,Rockwell,April 01 2010,1039
1976620,"(43.0815577, -93.2608184)",Cerro Gordo ,Swaledale,April 01 2010,165
1977880,"(43.0815577, -93.2608184)",Cerro Gordo ,Thornton,April 01 2010,422
1980580,"(43.0815577, -93.2608184)",Cerro Gordo ,Ventura,April 01 2010,717
1999990,"(43.0815577, -93.2608184)",Cerro Gordo ,Balance of Cerro Gordo County,April 01 2010,5101
1903745,"(42.7356226, -95.6238055)",Cherokee ,Aurelia,April 01 2010,1036
1913080,"(42.7356226, -95.6238055)",Cherokee ,Cherokee,April 01 2010,5253
1914115,"(42.7356226, -95.6238055)",Cherokee ,Cleghorn,April 01 2010,240
1943500,"(42.7356226, -95.6238055)",Cherokee ,Larrabee,April 01 2010,132
1949350,"(42.7356226, -95.6238055)",Cherokee ,Marcus,April 01 2010,1117
1951150,"(42.7356226, -95.6238055)",Cherokee ,Meriden,April 01 2010,159
1965280,"(42.7356226, -95.6238055)",Cherokee ,Quimby,April 01 2010,319
1982380,"(42.7356226, -95.6238055)",Cherokee ,Washta,April 01 2010,248
1999990,"(42.7356226, -95.6238055)",Cherokee ,Balance of Cherokee County,April 01 2010,3568
1901540,"(43.0600414, -92.3176637)",Chickasaw ,Alta Vista,April 01 2010,266
1904780,"(43.0600414, -92.3176637)",Chickasaw ,Bassett,April 01 2010,66
1928965,"(43.0600414, -92.3176637)",Chickasaw ,Fredericksburg,April 01 2010,931
1938460,"(43.0600414, -92.3176637)",Chickasaw ,Ionia,April 01 2010,291
1943815,"(43.0600414, -92.3176637)",Chickasaw ,Lawler,April 01 2010,439
1955335,"(43.0600414, -92.3176637)",Chickasaw ,Nashua (pt.),April 01 2010,1661
1956100,"(43.0600414, -92.3176637)",Chickasaw ,New Hampton,April 01 2010,3571
1957495,"(43.0600414, -92.3176637)",Chickasaw ,North Washington,April 01 2010,117
1965010,"(43.0600414, -92.3176637)",Chickasaw ,Protivin (pt.),April 01 2010,21
1999990,"(43.0600414, -92.3176637)",Chickasaw ,Balance of Chickasaw County,April 01 2010,5076
1955065,"(41.0290323, -93.7851579)",Clarke ,Murray,April 01 2010,756
1959835,"(41.0290323, -93.7851579)",Clarke ,Osceola,April 01 2010,4929
1986880,"(41.0290323, -93.7851579)",Clarke ,Woodburn,April 01 2010,202
1999990,"(41.0290323, -93.7851579)",Clarke ,Balance of Clarke County,April 01 2010,3399
1921360,"(43.0825804, -95.1509194)",Clay ,Dickens,April 01 2010,185
1926175,"(43.0825804, -95.1509194)",Clay ,Everly,April 01 2010,603
1928650,"(43.0825804, -95.1509194)",Clay ,Fostoria,April 01 2010,231
1930810,"(43.0825804, -95.1509194)",Clay ,Gillett Grove,April 01 2010,49
1932970,"(43.0825804, -95.1509194)",Clay ,Greenville,April 01 2010,75
1962625,"(43.0825804, -95.1509194)",Clay ,Peterson,April 01 2010,334
1968925,"(43.0825804, -95.1509194)",Clay ,Rossie,April 01 2010,70
1969105,"(43.0825804, -95.1509194)",Clay ,Royal,April 01 2010,446
1974280,"(43.0825804, -95.1509194)",Clay ,Spencer,April 01 2010,11233
1983010,"(43.0825804, -95.1509194)",Clay ,Webb,April 01 2010,141
1999990,"(43.0825804, -95.1509194)",Clay ,Balance of Clay County,April 01 2010,3300
1913845,"(42.8447493, -91.3414328)",Clayton ,Clayton,April 01 2010,43
1924060,"(42.8447493, -91.3414328)",Clayton ,Edgewood (pt.),April 01 2010,280
1924690,"(42.8447493, -91.3414328)",Clayton ,Elkader,April 01 2010,1273
1924825,"(42.8447493, -91.3414328)",Clayton ,Elkport,April 01 2010,37
1926850,"(42.8447493, -91.3414328)",Clayton ,Farmersburg,April 01 2010,302
1929685,"(42.8447493, -91.3414328)",Clayton ,Garber,April 01 2010,88
1929910,"(42.8447493, -91.3414328)",Clayton ,Garnavillo,April 01 2010,745
1933465,"(42.8447493, -91.3414328)",Clayton ,Guttenberg,April 01 2010,1919
1947055,"(42.8447493, -91.3414328)",Clayton ,Luana,April 01 2010,269
1948000,"(42.8447493, -91.3414328)",Clayton ,McGregor,April 01 2010,871
1949620,"(42.8447493, -91.3414328)",Clayton ,Marquette,April 01 2010,375
1953310,"(42.8447493, -91.3414328)",Clayton ,Monona,April 01 2010,1549
1957135,"(42.8447493, -91.3414328)",Clayton ,North Buena Vista,April 01 2010,121
1960015,"(42.8447493, -91.3414328)",Clayton ,Osterdock,April 01 2010,59
1964290,"(42.8447493, -91.3414328)",Clayton ,Postville (pt.),April 01 2010,280
1970140,"(42.8447493, -91.3414328)",Clayton ,St. Olaf,April 01 2010,108
1975855,"(42.8447493, -91.3414328)",Clayton ,Strawberry Point,April 01 2010,1279
1981345,"(42.8447493, -91.3414328)",Clayton ,Volga,April 01 2010,208
1999990,"(42.8447493, -91.3414328)",Clayton ,Balance of Clayton County,April 01 2010,8293
1902080,"(42.8447493, -90.5319724)",Clinton ,Andover,April 01 2010,103
1909820,"(41.8980358, -90.5319724)",Clinton ,Calamus,April 01 2010,439
1910135,"(41.8980358, -90.5319724)",Clinton ,Camanche,April 01 2010,4448
1912855,"(41.8980358, -90.5319724)",Clinton ,Charlotte,April 01 2010,394
1914430,"(41.8980358, -90.5319724)",Clinton ,Clinton,April 01 2010,26885
1919720,"(41.8980358, -90.5319724)",Clinton ,Delmar,April 01 2010,525
1921180,"(41.8980358, -90.5319724)",Clinton ,De Witt,April 01 2010,5322
1931665,"(41.8980358, -90.5319724)",Clinton ,Goose Lake,April 01 2010,240
1932025,"(41.8980358, -90.5319724)",Clinton ,Grand Mound,April 01 2010,642
1946605,"(41.8980358, -90.5319724)",Clinton ,Lost Nation,April 01 2010,446
1947010,"(41.8980358, -90.5319724)",Clinton ,Low Moor,April 01 2010,288
1949215,"(41.8980358, -90.5319724)",Clinton ,Maquoketa (pt.),April 01 2010,2
1978600,"(41.8980358, -90.5319724)",Clinton ,Toronto,April 01 2010,124
1983370,"(41.8980358, -90.5319724)",Clinton ,Welton,April 01 2010,165
1984945,"(41.8980358, -90.5319724)",Clinton ,Wheatland,April 01 2010,764
1999990,"(41.8980358, -90.5319724)",Clinton ,Balance of Clinton County,April 01 2010,8329
1902755,"(41.8980358, -95.3819678)",Crawford ,Arion,April 01 2010,108
1903340,"(42.0372125, -95.3819678)",Crawford ,Aspinwall,April 01 2010,40
1909145,"(42.0372125, -95.3819678)",Crawford ,Buck Grove,April 01 2010,43
1912900,"(42.0372125, -95.3819678)",Crawford ,Charter Oak,April 01 2010,502
1919765,"(42.0372125, -95.3819678)",Crawford ,Deloit,April 01 2010,264
1919945,"(42.0372125, -95.3819678)",Crawford ,Denison,April 01 2010,8298
1922215,"(42.0372125, -95.3819678)",Crawford ,Dow City,April 01 2010,510
1922890,"(42.0372125, -95.3819678)",Crawford ,Dunlap (pt.),April 01 2010,0
1941610,"(42.0372125, -95.3819678)",Crawford ,Kiron,April 01 2010,279
1948855,"(42.0372125, -95.3819678)",Crawford ,Manilla,April 01 2010,776
1966855,"(42.0372125, -95.3819678)",Crawford ,Ricketts,April 01 2010,145
1971130,"(42.0372125, -95.3819678)",Crawford ,Schleswig,April 01 2010,882
1980130,"(42.0372125, -95.3819678)",Crawford ,Vail,April 01 2010,436
1984630,"(42.0372125, -95.3819678)",Crawford ,Westside,April 01 2010,299
1999990,"(42.0372125, -95.3819678)",Crawford ,Balance of Crawford County,April 01 2010,4514
1900505,"(42.0372125, -94.0397374)",Dallas ,Adel,April 01 2010,3682
1907660,"(41.6848862, -94.0397374)",Dallas ,Bouton,April 01 2010,129
1914520,"(41.6848862, -94.0397374)",Dallas ,Clive (pt.),April 01 2010,4717
1918255,"(41.6848862, -94.0397374)",Dallas ,Dallas Center,April 01 2010,1623
1919135,"(41.6848862, -94.0397374)",Dallas ,Dawson,April 01 2010,131
1921045,"(41.6848862, -94.0397374)",Dallas ,De Soto,April 01 2010,1050
1921225,"(41.6848862, -94.0397374)",Dallas ,Dexter,April 01 2010,611
1932160,"(41.6848862, -94.0397374)",Dallas ,Granger (pt.),April 01 2010,1032
1933060,"(41.6848862, -94.0397374)",Dallas ,Grimes (pt.),April 01 2010,14
1945390,"(41.6848862, -94.0397374)",Dallas ,Linden,April 01 2010,199
1952545,"(41.6848862, -94.0397374)",Dallas ,Minburn,April 01 2010,365
1962355,"(41.6848862, -94.0397374)",Dallas ,Perry,April 01 2010,7702
1966045,"(41.6848862, -94.0397374)",Dallas ,Redfield,April 01 2010,835
1979950,"(41.6848862, -94.0397374)",Dallas ,Urbandale (pt.),April 01 2010,6337
1980445,"(41.6848862, -94.0397374)",Dallas ,Van Meter,April 01 2010,1016
1982695,"(41.6848862, -94.0397374)",Dallas ,Waukee,April 01 2010,13790
1983910,"(41.6848862, -94.0397374)",Dallas ,West Des Moines (pt.),April 01 2010,11569
1986970,"(41.6848862, -94.0397374)",Dallas ,Woodward (pt.),April 01 2010,1024
1999990,"(41.6848862, -94.0397374)",Dallas ,Balance of Dallas County,April 01 2010,10309
1907030,"(41.6848862, -92.4097173)",Davis ,Bloomfield,April 01 2010,2640
1922350,"(40.7476891, -92.4097173)",Davis ,Drakesville,April 01 2010,184
1927975,"(40.7476891, -92.4097173)",Davis ,Floris,April 01 2010,138
1965055,"(40.7476891, -92.4097173)",Davis ,Pulaski,April 01 2010,260
1999990,"(40.7476891, -92.4097173)",Davis ,Balance of Davis County,April 01 2010,5531
1919090,"(40.7476891, -93.7862815)",Decatur ,Davis City,April 01 2010,204
1919360,"(40.7376827, -93.7862815)",Decatur ,Decatur City,April 01 2010,197
1929775,"(40.7376827, -93.7862815)",Decatur ,Garden Grove,April 01 2010,211
1932070,"(40.7376827, -93.7862815)",Decatur ,Grand River,April 01 2010,236
1942960,"(40.7376827, -93.7862815)",Decatur ,Lamoni,April 01 2010,2324
1944535,"(40.7376827, -93.7862815)",Decatur ,Leon,April 01 2010,1977
1944580,"(40.7376827, -93.7862815)",Decatur ,Le Roy,April 01 2010,15
1963570,"(40.7376827, -93.7862815)",Decatur ,Pleasanton,April 01 2010,49
1980490,"(40.7376827, -93.7862815)",Decatur ,Van Wert,April 01 2010,230
1983190,"(40.7376827, -93.7862815)",Decatur ,Weldon,April 01 2010,125
1999990,"(40.7376827, -93.7862815)",Decatur ,Balance of Decatur County,April 01 2010,2889
1915015,"(40.7376827, -91.3673502)",Delaware ,Colesburg,April 01 2010,404
1919630,"(42.471211, -91.3673502)",Delaware ,Delaware,April 01 2010,159
1919675,"(42.471211, -91.3673502)",Delaware ,Delhi,April 01 2010,460
1922800,"(42.471211, -91.3673502)",Delaware ,Dundee,April 01 2010,174
1923115,"(42.471211, -91.3673502)",Delaware ,Dyersville (pt.),April 01 2010,179
1923430,"(42.471211, -91.3673502)",Delaware ,Earlville,April 01 2010,812
1924060,"(42.471211, -91.3673502)",Delaware ,Edgewood (pt.),April 01 2010,584
1932610,"(42.471211, -91.3673502)",Delaware ,Greeley,April 01 2010,256
1937155,"(42.471211, -91.3673502)",Delaware ,Hopkinton,April 01 2010,628
1948810,"(42.471211, -91.3673502)",Delaware ,Manchester,April 01 2010,5179
1950205,"(42.471211, -91.3673502)",Delaware ,Masonville,April 01 2010,127
1969465,"(42.471211, -91.3673502)",Delaware ,Ryan,April 01 2010,361
1999990,"(42.471211, -91.3673502)",Delaware ,Balance of Delaware County,April 01 2010,8441
1909550,"(42.471211, -91.1814707)",Des Moines ,Burlington,April 01 2010,25663
1918435,"(40.9231829, -91.1814707)",Des Moines ,Danville,April 01 2010,934
1950790,"(40.9231829, -91.1814707)",Des Moines ,Mediapolis,April 01 2010,1560
1951735,"(40.9231829, -91.1814707)",Des Moines ,Middletown,April 01 2010,318
1983685,"(40.9231829, -91.1814707)",Des Moines ,West Burlington,April 01 2010,2968
1999990,"(40.9231829, -91.1814707)",Des Moines ,Balance of Des Moines County,April 01 2010,8882
1903025,"(40.9231829, -95.1508301)",Dickinson ,Arnolds Park,April 01 2010,1126
1942600,"(43.3779848, -95.1508301)",Dickinson ,Lake Park,April 01 2010,1105
1952095,"(43.3779848, -95.1508301)",Dickinson ,Milford,April 01 2010,2898
1958710,"(43.3779848, -95.1508301)",Dickinson ,Okoboji,April 01 2010,807
1959655,"(43.3779848, -95.1508301)",Dickinson ,Orleans,April 01 2010,608
1974415,"(43.3779848, -95.1508301)",Dickinson ,Spirit Lake,April 01 2010,4840
1976440,"(43.3779848, -95.1508301)",Dickinson ,Superior,April 01 2010,130
1977520,"(43.3779848, -95.1508301)",Dickinson ,Terril,April 01 2010,367
1981615,"(43.3779848, -95.1508301)",Dickinson ,Wahpeton,April 01 2010,341
1984450,"(43.3779848, -95.1508301)",Dickinson ,West Okoboji,April 01 2010,289
1999990,"(43.3779848, -95.1508301)",Dickinson ,Balance of Dickinson County,April 01 2010,4156
1903160,"(43.3779848, -90.8824564)",Dubuque ,Asbury,April 01 2010,4170
1904375,"(42.468832, -90.8824564)",Dubuque ,Balltown,April 01 2010,68
1904510,"(42.468832, -90.8824564)",Dubuque ,Bankston,April 01 2010,25
1906085,"(42.468832, -90.8824564)",Dubuque ,Bernard,April 01 2010,112
1911305,"(42.468832, -90.8824564)",Dubuque ,Cascade (pt.),April 01 2010,1767
